texto,etiqueta
"Por favor eliminen este post, contiene datos personales",no_spam
"Solicito la eliminacion de un comentario ofensivo",no_spam
"Haz clic y gana premios gratis ahora",spam
"Este contenido viola las normas, eliminenlo por favor",no_spam
"Compra seguidores para tu perfil, promocion limitada",spam
"Solicito borrar mi publicacion, contiene informacion privada",no_spam
"Gana dinero desde casa con este este metodo exclusivo",spam
"Por favor borren un post que me afecta personalmente",no_spam
"Promocion especial para nuevos clientes, entra ya",spam
"Oferta especial, gana dinero rapido haciendo clic aqui",spam
"Hola, por favor eliminen esta publicacion, contiene informacion falsa.",no_spam
"Solicito que retiren este post porque incluye una foto mia sin consentimiento.",no_spam
"Gana dinero facil desde casa, solo con tu telefono. Haz clic aqui.",spam
"Esta publicacion es ofensiva y difamatoria, solicito su eliminacion.",no_spam
"Consigue miles de seguidores en segundos. Link en bio.",spam
"Este contenido vulnera mis derechos de autor. Solicito que se elimine.",no_spam
"Increible oferta. Compra ahora y obten un 50 por ciento de descuento.",spam
"Por favor eliminen esta publicacion, revela informacion medica privada.",no_spam
"Publicacion con datos personales no autorizados. Solicito eliminacion.",no_spam
"Consigue tu tarjeta de regalo gratis. Solo por hoy.",spam
"Este post contiene discursos de odio. Solicito que lo bajen.",no_spam
"Solicito eliminar este contenido por contener amenazas hacia mi persona.",no_spam
"Obten ingresos pasivos sin hacer nada. Registrate ahora.",spam
"Publicaron mi direccion sin permiso. Pido que lo retiren.",no_spam
"Este contenido esta engañando a la gente con informacion falsa.",no_spam
"Invierte en criptomonedas y duplica tu dinero en una semana.",spam
"Este post fue subido sin consentimiento y contiene fotos intimas.",no_spam
"El post tiene lenguaje ofensivo y dañino. Solicito eliminacion.",no_spam
"Recibe pagos automaticos todos los dias. Solo sigue este enlace.",spam
"Esta publicacion es falsa y esta dañando mi reputacion.",no_spam
"Gana hasta mil dolares diarios desde tu casa. Enterate como.",spam
"Se esta usando mi imagen para promocionar un producto sin permiso.",no_spam
"Contenido inapropiado publicado sin autorizacion. Solicito que se baje.",no_spam
"Accede a cursos gratuitos y gana dinero facil. Link aqui.",spam
"Este post es acoso en linea. Necesito que lo eliminen.",no_spam
"Publicacion con contenido violento. Solicito su eliminacion.",no_spam
"Elimina esta publicacion. No di autorizacion para que me etiquetaran.",no_spam
"Conviertete en tu propio jefe con esta app. Descubrelo ahora.",spam
"Hay imagenes falsas de mi familia en ese post. Solicito borrado.",no_spam
"Publicidad engañosa. Esta cuenta deberia ser reportada.",spam
"Por favor retiren el post, contiene calumnias sobre mi.",no_spam
"El contenido fue publicado sin consentimiento y muestra a menores.",no_spam
"Obten ingresos desde el primer dia sin experiencia. Solo registrate.",spam
"Se estan haciendo pasar por mi en ese post. Necesito que lo bajen.",no_spam
"Contenido que promueve el odio hacia minorias. Solicito eliminacion.",no_spam
"No autorice la publicacion de ese video. Solicito que se retire.",no_spam
"No te lo pierdas. Gana premios con solo responder encuestas.",spam
"Publicaron mi numero de telefono sin permiso. Por favor eliminenlo.",no_spam
"Este post hace acusaciones falsas. Solicito eliminacion inmediata.",no_spam
"Gana dinero viendo anuncios. Comienza hoy mismo.",spam
"Esa cuenta compartio imagenes privadas mias sin permiso.",no_spam
"El contenido de esa publicacion es sexualmente explicito y no consentido.",no_spam
"Invierte poco y gana mucho. Es real. Haz clic ya.",spam
"Solicito que eliminen ese video, contiene imagenes manipuladas de mi.",no_spam
"La publicacion es una suplantacion de identidad. Necesito que se elimine.",no_spam
"Descubre el secreto para ganar dinero sin esfuerzo. Solo aqui.",spam
"Este post incita al suicidio. Es urgente que lo retiren.",no_spam
"Hay un comentario violento en ese post. Solicito su eliminacion.",no_spam
"Todo el mundo esta ganando dinero con esto. ¿Que esperas?",spam
"Ese post incluye informacion sobre mi salud sin permiso. Eliminenlo.",no_spam
"Utilizaron mi nombre y foto sin consentimiento. Pido que lo bajen.",no_spam
"Reclama tu premio antes de que se acabe. Solo un clic.",spam
"El contenido de esa publicacion es difamatorio. Exijo que lo eliminen.",no_spam
"Por favor eliminen este post, promueve conductas peligrosas.",no_spam
"Recibe pagos todos los dias. Solo necesitas registrarte aqui.",spam
"Esa publicacion expone detalles de un menor. Solicito su eliminacion.",no_spam
"Este contenido no tiene mi consentimiento. Les pido que lo retiren.",no_spam
"Ofrecemos inversion segura y retorno garantizado. Contactanos.",spam
"Hay fotos robadas mias en esa cuenta. Solicito que las bajen.",no_spam
"Este usuario esta compartiendo contenido personal sin permiso.",no_spam
"No es justo que ese video este en linea. Solicito su eliminacion.",no_spam
"Aprovecha esta oportunidad de negocio unica. Haz clic para mas info.",spam
"La publicacion tiene acusaciones falsas. Pido que se retire.",no_spam
"Ese post esta promoviendo teorias conspirativas peligrosas.",no_spam
"Genera ingresos desde tu celular con esta app magica.",spam
"Solicito que borren ese post, incluye imagenes alteradas sin permiso.",no_spam
"El contenido de esa publicacion viola mis derechos como autor.",no_spam
"Dinero facil sin moverte de tu casa. Solo necesitas este enlace.",spam
"La publicacion me pone en riesgo fisico. Por favor eliminenla.",no_spam
"Estan usando mi nombre para vender un producto. No lo autorice.",no_spam
"Promocion limitada. Consigue hasta 500 dolares con esta oferta.",spam
"Solicito el retiro del post por contener lenguaje abusivo.",no_spam
"Esa publicacion tiene informacion privada de mi historial medico.",no_spam
"No autorice la publicacion de esa conversacion privada.",no_spam
"Inscribete gratis y gana comisiones automaticas todos los dias.",spam
"El contenido de ese post es misogino y ofensivo. Solicito que se retire.",no_spam
"Esa imagen fue tomada en un contexto privado. Solicito que la eliminen.",no_spam
"Comienza a ganar dinero hoy mismo. Solo necesitas un correo.",spam
"Me estan difamando en esa publicacion. Necesito que la eliminen.",no_spam
"Se publicaron detalles de mi ubicacion sin permiso. Solicito eliminacion.",no_spam
"Consigue clientes automaticos con esta estrategia secreta.",spam
"Contenido sin autorizacion de publicacion. Solicito que se baje.",no_spam
"Ese post contiene amenazas hacia mi persona. Por favor eliminenlo.",no_spam
"Transforma tu vida en 7 dias con este curso exclusivo. Haz clic.",spam
"Esa cuenta usa mi imagen sin derechos. Solicito que la eliminen.",no_spam
"Por favor borren ese post, esta causando acoso hacia mi persona.",no_spam
"Accede a ingresos diarios con solo ver videos. Muy facil.",spam
"La publicacion promueve la violencia contra mujeres. Exijo eliminacion.",no_spam
"Ese contenido fue grabado sin mi consentimiento. Solicito retiro.",no_spam
"Gana bonos por cada referido que consigas. No dejes pasar esta oferta.",spam
"Esa publicacion me expone innecesariamente. Solicito que se elimine.",no_spam